iso	year	hs2	x	x_wd
"BWA"	2000	1	.274673	9073.298
"BWA"	2019	1	10.802074	22260.61
"BWA"	2000	2	24.814092	37393.98
"BWA"	2019	2	40.487195	126200.1
"BWA"	2000	3	.00071	43299.77
"BWA"	2019	3	1.467921	112973.3
"BWA"	2000	4	.041641	26623.5
"BWA"	2019	4	.449028	85722.41
"BWA"	2000	5	.099724	3668.729
"BWA"	2019	5	.062684	11000.05
"BWA"	2000	6	0	8654.637
"BWA"	2019	6	.00633	20189.9
"BWA"	2000	7	.072191	20184.37
"BWA"	2019	7	8.575984	70740.52
"BWA"	2000	8	.003272	30299.35
"BWA"	2019	8	.038212	125117.5
"BWA"	2000	9	.051362	14743.37
"BWA"	2019	9	.322541	46235.67
"BWA"	2000	10	.091022	34245.11
"BWA"	2019	10	1.224256	108149.3
"BWA"	2000	11	1.621213	5519.118
"BWA"	2019	11	1.140916	19459.29
"BWA"	2000	12	.39739	19262.25
"BWA"	2019	12	.314784	92291.54
"BWA"	2000	13	.003038	2235.32
"BWA"	2019	13	6.175901	7682.804
"BWA"	2000	14	.005198	547.3491
"BWA"	2019	14	0	1107.18
"BWA"	2000	15	1.315529	22027.77
"BWA"	2019	15	.811117	94938.92
"BWA"	2000	16	.300738	14949.33
"BWA"	2019	16	.16606	55224.32
"BWA"	2000	17	.431066	14156.92
"BWA"	2019	17	.454948	38992.24
"BWA"	2000	18	.004978	11011.9
"BWA"	2019	18	.007371	46864.14
"BWA"	2000	19	1.200137	15819.46
"BWA"	2019	19	.85865	74808.25
"BWA"	2000	20	.006292	19717.06
"BWA"	2019	20	2.371204	61776.86
"BWA"	2000	21	.021203	16380.88
"BWA"	2019	21	.075795	75137.3
"BWA"	2000	22	.055797	35250.72
"BWA"	2019	22	1.144468	119292.6
"BWA"	2000	23	2.580082	19184.9
"BWA"	2019	23	2.853262	73745.46
"BWA"	2000	24	.002366	20907.57
"BWA"	2019	24	3.036653	43860.77
"BWA"	2000	25	5.656076	18987.83
"BWA"	2019	25	22.746578	48822.93
"BWA"	2000	26	.010132	27083.87
"BWA"	2019	26	1.423062	231336.6
"BWA"	2000	27	1.870632	698694.9
"BWA"	2019	27	16.623514	2388352
"BWA"	2000	28	2.967728	44794.96
"BWA"	2019	28	44.622724	123493.4
"BWA"	2000	29	.033165	160211.8
"BWA"	2019	29	.214861	411254.5
"BWA"	2000	30	2.178268	88592.98
"BWA"	2019	30	8.135975	582529.2
"BWA"	2000	31	.008102	16550.1
"BWA"	2019	31	.04967	62825.14
"BWA"	2000	32	.271906	35369.77
"BWA"	2019	32	.819366	78538.13
"BWA"	2000	33	.036772	29777.44
"BWA"	2019	33	2.730778	136258
"BWA"	2000	34	.662908	17520.84
"BWA"	2019	34	1.069749	59412.93
"BWA"	2000	35	.013316	9688.17
"BWA"	2019	35	.099627	28947.45
"BWA"	2000	36	.004096	1647.531
"BWA"	2019	36	.895868	4629.192
"BWA"	2000	37	.007131	18899.79
"BWA"	2019	37	.046117	15372.98
"BWA"	2000	38	.012216	52465.48
"BWA"	2019	38	.773147	189454.8
"BWA"	2000	39	3.162923	187880.1
"BWA"	2019	39	34.014282	592607.9
"BWA"	2000	40	.307661	56139.92
"BWA"	2019	40	2.117532	178292
"BWA"	2000	41	4.47612	20047.97
"BWA"	2019	41	.620169	18624.67
"BWA"	2000	42	.049815	22761.17
"BWA"	2019	42	.140614	79947
"BWA"	2000	43	.003899	3163.944
"BWA"	2019	43	.004636	8663.878
"BWA"	2000	44	.072426	68260.72
"BWA"	2019	44	1.495639	132092.6
"BWA"	2000	45	.000084	1397.596
"BWA"	2019	45	.010746	1875.765
"BWA"	2000	46	.044058	1144.515
"BWA"	2019	46	.001233	2394.957
"BWA"	2000	47	.282656	24197.04
"BWA"	2019	47	1.234772	47952.44
"BWA"	2000	48	1.303729	101279
"BWA"	2019	48	1.942779	179280.7
"BWA"	2000	49	.80298	24116.61
"BWA"	2019	49	6.210024	35699.79
"BWA"	2000	50	0	2280.429
"BWA"	2019	50	0	1885.461
"BWA"	2000	51	.023023	11297.12
"BWA"	2019	51	.005709	11909.81
"BWA"	2000	52	1.303626	34273.25
"BWA"	2019	52	.004913	53697.29
"BWA"	2000	53	.00361	2941.038
"BWA"	2019	53	0	5171.938
"BWA"	2000	54	.025698	32030.47
"BWA"	2019	54	.03415	49803.67
"BWA"	2000	55	.074732	25477.97
"BWA"	2019	55	.008643	37254.37
"BWA"	2000	56	.003241	9493.137
"BWA"	2019	56	.015699	25655.99
"BWA"	2000	57	1.35661	8165.327
"BWA"	2019	57	.011744	14975.38
"BWA"	2000	58	.044138	7253.516
"BWA"	2019	58	3.834974	12059.93
"BWA"	2000	59	.002906	12113.16
"BWA"	2019	59	.104349	24590.67
"BWA"	2000	60	.157498	14230.87
"BWA"	2019	60	.005794	34567.45
"BWA"	2000	61	12.131377	84000.78
"BWA"	2019	61	1.498038	216346.4
"BWA"	2000	62	8.441444	105286
"BWA"	2019	62	.589392	215741.9
"BWA"	2000	63	2.849767	17819.51
"BWA"	2019	63	14.174155	62402.41
"BWA"	2000	64	.647394	45449.91
"BWA"	2019	64	.916317	138690.6
"BWA"	2000	65	.109626	3119.423
"BWA"	2019	65	.036451	9875.783
"BWA"	2000	66	.003356	1336.253
"BWA"	2019	66	.006947	3482.292
"BWA"	2000	67	.041572	2141.387
"BWA"	2019	67	.016346	9036.999
"BWA"	2000	68	.063689	17258.29
"BWA"	2019	68	4.150855	52087.93
"BWA"	2000	69	.04	20223.18
"BWA"	2019	69	.123419	57200.36
"BWA"	2000	70	.037846	30082.2
"BWA"	2019	70	.52451	73990.67
"BWA"	2000	71	747.53195	130894.3
"BWA"	2019	71	4137.7239	635251
"BWA"	2000	72	.987766	126887.1
"BWA"	2019	72	11.596701	363240.8
"BWA"	2000	73	1.436537	84568.87
"BWA"	2019	73	5.22814	293471.2
"BWA"	2000	74	124.63643	38474.73
"BWA"	2019	74	5.250076	141953.5
"BWA"	2000	75	33.260511	10684.77
"BWA"	2019	75	.002397	27939.53
"BWA"	2000	76	.012419	64012.89
"BWA"	2019	76	2.654593	168022.4
"BWA"	2000	78	.004843	1672.07
"BWA"	2019	78	1.92215	7777.037
"BWA"	2000	79	.000298	6436.505
"BWA"	2019	79	.003523	17096.1
"BWA"	2000	80	0	2027.145
"BWA"	2019	80	.003373	4866.174
"BWA"	2000	81	.002323	6601.78
"BWA"	2019	81	.005077	19179.59
"BWA"	2000	82	.047711	24728.88
"BWA"	2019	82	.751649	62056.21
"BWA"	2000	83	.050849	22240.27
"BWA"	2019	83	4.332334	68630.2
"BWA"	2000	84	4.060158	908513.6
"BWA"	2019	84	29.316235	2055830
"BWA"	2000	85	20.437413	933340.9
"BWA"	2019	85	129.48475	2453545
"BWA"	2000	86	.375123	11079.21
"BWA"	2019	86	.031775	38591.21
"BWA"	2000	87	6.748403	543542.1
"BWA"	2019	87	23.766172	1438733
"BWA"	2000	88	1.167592	105801.9
"BWA"	2019	88	5.976245	238282.7
"BWA"	2000	89	.044073	40853
"BWA"	2019	89	.882873	122775.3
"BWA"	2000	90	.251496	186027.8
"BWA"	2019	90	1.840451	619265.2
"BWA"	2000	91	.001317	18059.32
"BWA"	2019	91	.060943	47915.73
"BWA"	2000	92	.000392	3811.498
"BWA"	2019	92	.20451	6848.011
"BWA"	2000	93	.06317	4623.36
"BWA"	2019	93	.146028	15289.76
"BWA"	2000	94	.31483	78489.6
"BWA"	2019	94	1.56695	247267.5
"BWA"	2000	95	.022995	45624.95
"BWA"	2019	95	.121788	115066.2
"BWA"	2000	96	.351111	13914.13
"BWA"	2019	96	.078878	34181.57
"BWA"	2000	97	.013997	10485.33
"BWA"	2019	97	.09798	35069.23
