iso	year	xiso	xsoccer
"CHN"	2016	2095048.1	586.0654
"CHN"	2017	2260014.1	532.6834
"CHN"	2018	2472629	552.3343
"CHN"	2019	2460438.1	530.4865
"CHN"	2020	2575774.6	450.4278
"DEU"	2016	1337599.2	93.42294
"DEU"	2017	1446574.5	78.19362
"DEU"	2018	1562873.9	80.61017
"DEU"	2019	1492818.7	75.59981
"DEU"	2020	1385811.6	70.65913
"IND"	2016	258808.39	16.95071
"IND"	2017	292671.21	15.88581
"IND"	2018	320512.19	21.78664
"IND"	2019	321432.47	19.35062
"IND"	2020	272016.01	13.43879
"PAK"	2016	20485.919	152.9065
"PAK"	2017	21876.026	146.363
"PAK"	2018	24408.894	153.2914
"PAK"	2019	23935.497	153.1386
"PAK"	2020	21948.721	113.1102
"RoW"	2016	11304329	236.022
"RoW"	2017	12469568	210.2526
"RoW"	2018	13846966	219.8873
"RoW"	2019	13414907	192.8516
"RoW"	2020	12168924	181.2248
"THA"	2016	217549.03	74.89134
"THA"	2017	236861.53	74.5667
"THA"	2018	252623.41	76.20801
"THA"	2019	234854.35	72.76148
"THA"	2020	231602.67	61.70262
"VNM"	2016	191091.39	65.66108
"VNM"	2017	231900.14	80.31963
"VNM"	2018	265151.54	96.29848
"VNM"	2019	287839.44	117.4335
"VNM"	2020	306825.13	103.7022
